condition_id,source_requirement,disposition,affected_file_section,remaining_limit,implementation_commit,reviewer_acknowledgment,source
PB-01,False-swearing theory,inactive_for_selected_scope,audit/PROJECT_CONTROL.md / Product rules,No sworn/legal-deterrent theory in this product; historical merits unresolved,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-02,Perjury public copy,implemented_boundary,audit/PROJECT_CONTROL.md / Product rules,No penalty or deterrence claims; historical criminal analysis unresolved,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-03,In-person first oath and RON gating,inactive_for_selected_scope,audit/CANONICAL_STATUS.md / Conflict rule,No oath route; reopen whole requirement if sworn feature returns,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-04,2027 remote oath,inactive_for_selected_scope,operations/NONSWORN_REVIEW_GATES.md / Stage gates,No date-only activation of notarial feature,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-05,Participant substantive authorship,implemented_specification,operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 2,Actual proof/attribution approval remains pre-use,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-06,Sworn airlock/rewrite,partially_applicable,"operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 2,4",New non-sworn versions/re-proof specified; sworn airlock/certificate inactive,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-07,Nonparticipant publication,implemented_boundary,operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 4,No named statuses; no live publication authorized,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-08,Defamation doctrine,open_before_use,operations/NONSWORN_REVIEW_GATES.md / 3,Claim-level review specified; historical case-law corrections not certified,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-09,Notarial versus production custody,partially_applicable,operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 4,Non-sworn asset classes specified; notarial archive inactive; actual custody open,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-10,Recording consent,implemented_intake,operations/NONSWORN_REVIEW_GATES.md / 3,Written consent identified as policy; actual location/consent review open,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-11,Remote criminal jurisdiction,inactive_for_selected_scope,operations/NONSWORN_REVIEW_GATES.md / Stage gates,No jurisdiction-by-notary theory; actual locations still reviewed,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-12,Extradition predictions,implemented_boundary,audit/PROJECT_CONTROL.md / Product rules,No enforcement forecasts; no historical legal cure claimed,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-13,PA/AZ/FL criminal comparators,inactive_for_selected_scope,audit/CANONICAL_STATUS.md / Conflict rule,Preserved research only; no penalty invocation,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-14,Adjusted campaign amounts,open_before_use,operations/NONSWORN_REVIEW_GATES.md / 2,Current threshold verification required; no old dollar amount adopted,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-15,Personality-right consent/reuse,implemented_intake,operations/NONSWORN_REVIEW_GATES.md / 3,Project written-policy and legal exceptions separated; actual rights open,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-16,Witness-law reassurance/threats,implemented_boundary,audit/PROJECT_CONTROL.md / Product rules,Pressure/referral bargaining triggers stop and review,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
