decision_id,question,status,current_disposition,required_before,responsible_role_not_appointed,implementation_commit,reviewer_acknowledgment,source
CR-01,Product scope,owner_decided,Non-sworn Claim Record; optional oath outside this version,Reopen before any sworn feature,Project owner,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-02,Governing document/branch,owner_decided,Continue PR5; current hierarchy explicitly separates historical sworn research,Before adoption into main; verify target head,Coordinating editor and independent project reviewer,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-03,Phase 0 versus real-person work,owner_decided,Synthetic Phase0 only; no real-person authorization,Before any real-person work,Project owner and applicable professional reviewers,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-04,Named nonparticipation publication,owner_decided,No named invitation/decline/no-response/comparison pages in this version,New product decision and applicable review before reopening,Project owner and publication reviewer,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-05,Notary/editorial roles,inactive_for_selected_scope,No notary role; editorial/participant roles are specified,Before adding any notarial feature,Future notary and relevant counsel; editor,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-06,Exact adopted text/basis/attachments,specified_for_synthetic_work,Protocol defines exact statement/basis/qualification and composite proof; actual records absent,Before a real signature/attribution/publication,Actual participant; editor; relevant counsel,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-07,Evidence dictionary and appeals,specified_for_synthetic_work,Development categories/search/dispute rules supplied; actual appointments/deadlines unfilled,Before real assessment/publication,Evidence and appeal reviewers to be appointed,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-08,Contracting/funding/operator entity,open_before_use,Separate organization intended; no entity or DGG appointment inferred,Before contracts/real data/operations,Owner-appointed operator and counsel,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-09,RON recording configuration,inactive_for_selected_scope,No remote-notarial act or compliance recording,Before adding RON,Future notary/provider and counsel,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
CR-10,Custody/retention/closure,open_before_use,Asset specification drafted; actual custodian/contracts/retention unfilled,Before real data/operations,Named custodian and counsel,PENDING_CONTENT_COMMIT,Not inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/fc2749b530b8c091919e314b855119478e386170/research/consolidated-review-2026-09-05/decision_register.csv
