source_id,title,type,url,doi,checked_date,scope_note
L1,Chapter 42.45 RCW: Revised Uniform Law on Notarial Acts,legislation,https://app.leg.wa.gov/RCW/default.aspx?cite=42.45&full=true,,2026-09-05,Source group L1 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L2,RCW 42.45.280: Electronic records notary public,legislation,https://app.leg.wa.gov/rcw/default.aspx?cite=42.45.280,,2026-09-05,Source group L2 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L3,RCW 9A.72.040: False swearing,legislation,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.040,,2026-09-05,Source group L3 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L3b,RCW 9A.72.080: Statement of what one does not know to be true,legislation,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.080,,2026-09-05,Source group L3 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L4,Chapter 9A.72 RCW: Perjury and interference with official proceedings,legislation,https://app.leg.wa.gov/RCW/default.aspx?cite=9A.72&full=true,,2026-09-05,Source group L4 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L5,"57 Pa.C.S. chapter 3, section 311: Notarial act in another state",legislation,https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/57/00.003..HTM,,2026-09-05,Source group L5 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L6,RCW 9A.04.030: State criminal jurisdiction,legislation,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.04.030,,2026-09-05,Source group L6 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L7,"18 Pa.C.S. chapter 1, section 102: Territorial applicability",legislation,https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/18/00.001..HTM,,2026-09-05,Source group L7 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L8,"18 Pa.C.S. chapter 49, section 4903: False swearing",legislation,https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/18/00.049..HTM,,2026-09-05,Source group L8 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L9,"Rickert v. State, Public Disclosure Commission",legal_case,https://www.courtlistener.com/opinion/2582429/rickert-v-state-public-disclosure-comn/,,2026-09-05,Source group L9 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L9b,RCW 29B.30.070,legislation,https://app.leg.wa.gov/RCW/default.aspx?cite=29B.30.070,,2026-09-05,Source group L9 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L10,United States v. Alvarez,legal_case,https://www.law.cornell.edu/supremecourt/text/11-210,,2026-09-05,Source group L10 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L11,Chapter 5.50 RCW: Uniform Unsworn Declarations Act,legislation,https://app.leg.wa.gov/RCW/default.aspx?cite=5.50&full=true,,2026-09-05,Source group L11 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L12,"RCW 29B.30.070: Political advertising or electioneering communication, libel or defamation per se",legislation,https://app.leg.wa.gov/RCW/default.aspx?cite=29B.30.070,,2026-09-05,Source group L12 in report.md. Targeted verification; proposition-specific limits are stated in the report.
L13,WAC 308-30-330: Retention of audiovisual recordings and repositories,legislation,https://app.leg.wa.gov/wac/default.aspx?cite=308-30-330,,2026-09-05,Source group L13 in report.md. Targeted verification; proposition-specific limits are stated in the report.
P1,Chapter 390-32 WAC: Fair Campaign Practices Code,legislation,https://app.leg.wa.gov/WAC/default.aspx?cite=390-32&full=true,,2026-09-05,Source group P1 in report.md. Targeted verification; proposition-specific limits are stated in the report.
P2,Fair Campaign Practices Project,webpage,https://lwvclarkcounty.org/content.aspx?club_id=160612&module_id=514897&page_id=22,,2026-09-05,Source group P2 in report.md. Targeted verification; proposition-specific limits are stated in the report.
P3,Inviting a candidate to speak: 501(c)(3) political-campaign-intervention FAQ,webpage,https://www.irs.gov/charities-non-profits/charitable-organizations/frequently-asked-questions-about-the-ban-on-political-campaign-intervention-by-501c3-organizations-inviting-a-candidate-to-speak,,2026-09-05,Source group P3 in report.md. Targeted verification; proposition-specific limits are stated in the report.
P4,Public debates,webpage,https://www.fec.gov/help-candidates-and-committees/making-disbursements-ssf-or-connected-organization/public-debates/,,2026-09-05,Source group P4 in report.md. Targeted verification; proposition-specific limits are stated in the report.
E1-Zickfeld-2024-meta,Committed (dis)honesty: A systematic meta-analytic review of the divergent effects of social commitment to individuals or honesty oaths on dishonest behavior,article-journal,https://doi.org/10.1037/bul0000429,10.1037/bul0000429,2026-09-05,"Published online 2024-04-15. Bibliographic metadata and abstract verified against https://pubmed.ncbi.nlm.nih.gov/38619478/ and the Aarhus University institutional record. Full review N=91,683 covers all social commitment types, not only honesty oaths."
