decision_id,question,sources,responsible_role_not_appointed,status,implementation_commit,acknowledgment
CR-01,"Which product scope is under review: sworn, optional oath, or non-sworn?",R1;R3;R6;D9,Project owner / documented decision body,Unresolved in reviewed record,,
CR-02,Which current document governs remote versus in-person operations?,R1-R5;D4;D9,Packet author and project reviewer,Unresolved in reviewed record,,
CR-03,How is Phase 0 language reconciled with real-person feasibility language?,R3-R5,Packet author and project reviewer,Unresolved in reviewed record,,
CR-04,Which named nonparticipation-publication rule is being considered?,D1;D2;D4;R1;R3;R6,Publication decision-maker,Unresolved in reviewed record,,
CR-05,What are the notarial duties versus editorial admission roles?,L1;R3-R5,Notary and relevant counsel; editor,Unresolved in reviewed record,,
CR-06,"What exact text, basis and attachments are adopted by the signer?",D4;R3-R5,Participant; document author; relevant counsel,Unresolved in reviewed record,,
CR-07,What is the final evidence dictionary and appeal procedure?,D4;D9,Evidence and appeal reviewers,Unresolved in reviewed record,,
CR-08,"Which legal entity contracts, funds and operates the program?",D9;P3;P4;R3-R6,Operator and relevant counsel,Unresolved in reviewed record,,
CR-09,What recording configuration satisfies the RON image exclusion?,L2;L13,Notary and platform provider,Unresolved in reviewed record,,
CR-10,"What are the actual custody, retention and closure arrangements?",D4;D9;L13;R3-R6,Named custodians and relevant counsel,Unresolved in reviewed record,,
CR-11,Which interstate locations and independent jurisdictional grounds are involved?,L5-L8;D10;D11,Relevant jurisdiction counsel,Unresolved in reviewed record,,
CR-12,Which law and rules apply to operations on or after 2027-01-01?,L2;R2-R5,Notary and relevant counsel,Unresolved in reviewed record,,
CR-13,"What actual quotes, costs and obligations replace budget assumptions?",D9,Operator and funder,Unresolved in reviewed record,,
CR-14,"What estimand, comparison, units, missingness and outcome definitions apply?",D8;D9;E1-E3;R4-R6,Research lead,Unresolved in reviewed record,,
CR-15,Does the new work implement any of the existing PB-01 through PB-18 tickets?,R4;R5,Packet author and project reviewer,Unresolved in reviewed record,,
CR-16,"What did prospective organizations actually agree to, if anything?",D9;D11;R2-R6,Authorized organization representative,Unresolved in reviewed record,,
