source_id,filename,bytes,sha256
D1,01-washington_sworn_format_concept_paper_v3.md,34117,0912eb30b107d8b4a1e498942abc53e84b54b994ae18c5b49d8979444fb0ad57
D2,02-washington_sworn_format_pilot_packet_v2.md,31391,d0cf137ab279b9e878f251d6c5ca6b97be7dbcff1cb3aab3a41db3021fdf844d
D3,03-washington_sworn_format_pilot_packet_v2-1.docx,50401,bc0aa3f3e7dd21b1dc82c460ca978135ab208890d5c78d714bce3097dd75cee7
D4,04-DGG_Washington_Participant_Sworn_Statement_Protocol_2026-08-30-1-.docx,97209,a6f1f703cadb3278b8b9e2d506637eaf2f267fdd0d9e5fbaa76f42e47be31030
D5,05-PROJECT_ORIGIN_AND_DESIGN_RATIONALE_SUPPLEMENT-1-.md,12400,0c876a74e1e9ae8ab730d0a689eae4563df30afc4a572f944e4a0efad5e2fe2a
D6,06-Washington_Voluntary_Sworn_Format_Legal_Memorandum_v1.0-1-.docx,67140,785b6f299d19638661a2e3445a044fd33ebf459ce2f2fbf7f664da1eb07ce547
D7,07-ZOTERO_OBSIDIAN_INTEGRATION-1-.md,2763,88bc1812a23265e05ca1ebdff809dfe85ce934917d16a92c399648e2cd12fc93
D8,08-BEHAVIORAL_EVIDENCE_AND_EVALUATION_PLAN-1-.md,13538,e08df5c9ddef6f1b1e557b146649df5dae2eb8f60862a5e3d1809ad82ba2a023
D9,09-Washington_Voluntary_Sworn_Statement_Pilot.pdf,198751,d6506d0328ca300cf6edd904d9d7d5cbef66133e4921ea1d6f08f5f312de8f10
D10,10-States-and-Commonwealths.docx,59317,b9fa458f85b74188621da755e913d28ace444240af9559067cc4652fa852d32e
D11,11-Voluntary-Factual-Statements-Feasibility.docx,43180,7affd457e3e622e52bd9092021a640f4f0b66184b89deaa10e6f1fabe923371d
